5x5
J=1.0;h=0.0;kT=2.7
t E M
7858176 100.0 25.0
7859200 100.0 25.0
7860224 100.0 25.0
7861248 100.0 25.0
7862272 100.0 25.0
7863296 100.0 25.0
7864320 100.0 25.0
7865344 84.0 23.0
7866368 100.0 25.0
7867392 100.0 25.0
7868416 100.0 25.0
7869440 100.0 25.0
7870464 100.0 25.0
7871488 100.0 25.0
7872512 100.0 25.0
7873536 100.0 25.0
7874560 100.0 25.0
7875584 100.0 25.0
7876608 100.0 25.0
7877632 100.0 25.0
7878656 100.0 25.0
7879680 100.0 25.0
7880704 100.0 25.0
7881728 100.0 25.0
7882752 84.0 23.0
7883776 100.0 25.0
7884800 100.0 25.0
7885824 100.0 25.0
7886848 84.0 23.0
7887872 100.0 25.0
7888896 100.0 25.0
7889920 84.0 23.0
7890944 100.0 25.0
7891968 100.0 25.0
7892992 100.0 25.0
7894016 100.0 25.0
7895040 100.0 25.0
7896064 100.0 25.0
7897088 84.0 23.0
7898112 100.0 25.0
7899136 100.0 25.0
7900160 100.0 25.0
7901184 100.0 25.0
7902208 100.0 25.0
7903232 100.0 25.0
7904256 100.0 25.0
7905280 100.0 25.0
7906304 100.0 25.0
7907328 100.0 25.0
7908352 100.0 25.0
7909376 100.0 25.0
7910400 100.0 25.0
7911424 84.0 23.0
7912448 100.0 25.0
7913472 100.0 25.0
7914496 100.0 25.0
7915520 100.0 25.0
7916544 100.0 25.0
7917568 100.0 25.0
7918592 100.0 25.0
7919616 100.0 25.0
7920640 100.0 25.0
7921664 100.0 25.0
7922688 100.0 25.0
7923712 100.0 25.0
7924736 100.0 25.0
7925760 100.0 25.0
7926784 100.0 25.0
7927808 100.0 25.0
7928832 100.0 25.0
7929856 100.0 25.0
7930880 100.0 25.0
7931904 100.0 25.0
7932928 100.0 25.0
7933952 100.0 25.0
7934976 100.0 25.0
7936000 100.0 25.0
7937024 84.0 23.0
7938048 100.0 25.0
7939072 100.0 25.0
7940096 100.0 25.0
7941120 100.0 25.0
7942144 100.0 25.0
7943168 100.0 25.0
7944192 100.0 25.0
7945216 100.0 25.0
7946240 100.0 25.0
7947264 100.0 25.0
7948288 100.0 25.0
7949312 100.0 25.0
7950336 100.0 25.0
7951360 100.0 25.0
7952384 100.0 25.0
7953408 100.0 25.0
7954432 100.0 25.0
7955456 100.0 25.0
7956480 100.0 25.0
7957504 100.0 25.0
7958528 100.0 25.0
7959552 100.0 25.0
7960576 100.0 25.0
7961600 100.0 25.0
7962624 100.0 25.0
7963648 100.0 25.0
7964672 100.0 25.0
7965696 100.0 25.0
7966720 100.0 25.0
7967744 100.0 25.0
7968768 100.0 25.0
7969792 100.0 25.0
7970816 100.0 25.0
7971840 100.0 25.0
7972864 100.0 25.0
7973888 100.0 25.0
7974912 100.0 25.0
7975936 100.0 25.0
7976960 100.0 25.0
7977984 100.0 25.0
7979008 100.0 25.0
7980032 100.0 25.0
7981056 100.0 25.0
7982080 100.0 25.0
7983104 100.0 25.0
7984128 84.0 23.0
7985152 100.0 25.0
7986176 100.0 25.0
7987200 100.0 25.0
7988224 84.0 23.0
7989248 100.0 25.0
7990272 100.0 25.0
7991296 100.0 25.0
7992320 84.0 23.0
7993344 100.0 25.0
7994368 100.0 25.0
7995392 100.0 25.0
7996416 84.0 23.0
7997440 100.0 25.0
7998464 100.0 25.0
7999488 100.0 25.0
8000512 100.0 25.0
8001536 100.0 25.0
8002560 100.0 25.0
8003584 100.0 25.0
8004608 100.0 25.0
8005632 100.0 25.0
8006656 100.0 25.0
8007680 100.0 25.0
8008704 100.0 25.0
8009728 100.0 25.0
8010752 100.0 25.0
8011776 100.0 25.0
8012800 100.0 25.0
8013824 100.0 25.0
8014848 100.0 25.0
8015872 100.0 25.0
8016896 100.0 25.0
8017920 100.0 25.0
8018944 100.0 25.0
8019968 100.0 25.0
8020992 100.0 25.0
8022016 100.0 25.0
8023040 100.0 25.0
8024064 100.0 25.0
8025088 100.0 25.0
8026112 100.0 25.0
8027136 100.0 25.0
8028160 100.0 25.0
8029184 100.0 25.0
8030208 84.0 23.0
8031232 100.0 25.0
8032256 100.0 25.0
8033280 100.0 25.0
8034304 100.0 25.0
8035328 100.0 25.0
8036352 100.0 25.0
8037376 100.0 25.0
8038400 100.0 25.0
8039424 100.0 25.0
8040448 84.0 23.0
8041472 84.0 23.0
8042496 84.0 23.0
8043520 100.0 25.0
8044544 100.0 25.0
8045568 100.0 25.0
8046592 100.0 25.0
8047616 100.0 25.0
8048640 100.0 25.0
8049664 100.0 25.0
8050688 100.0 25.0
8051712 100.0 25.0
8052736 84.0 23.0
8053760 100.0 25.0
8054784 100.0 25.0
8055808 84.0 23.0
8056832 100.0 25.0
8057856 100.0 25.0
8058880 100.0 25.0
8059904 100.0 25.0
8060928 100.0 25.0
8061952 100.0 25.0
8062976 100.0 25.0
8064000 100.0 25.0
8065024 100.0 25.0
8066048 76.0 21.0
8067072 100.0 25.0
8068096 100.0 25.0
8069120 100.0 25.0
8070144 84.0 23.0
8071168 100.0 25.0
8072192 100.0 25.0
8073216 100.0 25.0
8074240 100.0 25.0
8075264 100.0 25.0
8076288 100.0 25.0
8077312 100.0 25.0
8078336 100.0 25.0
8079360 100.0 25.0
8080384 100.0 25.0
8081408 100.0 25.0
8082432 100.0 25.0
8083456 100.0 25.0
8084480 100.0 25.0
8085504 100.0 25.0
8086528 100.0 25.0
8087552 100.0 25.0
8088576 100.0 25.0
8089600 100.0 25.0
8090624 100.0 25.0
8091648 100.0 25.0
8092672 100.0 25.0
8093696 100.0 25.0
8094720 100.0 25.0
8095744 100.0 25.0
8096768 84.0 23.0
8097792 84.0 23.0
8098816 100.0 25.0
8099840 100.0 25.0
8100864 100.0 25.0
8101888 100.0 25.0
8102912 100.0 25.0
8103936 100.0 25.0
8104960 100.0 25.0
8105984 84.0 23.0
8107008 100.0 25.0
8108032 100.0 25.0
8109056 100.0 25.0
8110080 100.0 25.0
8111104 100.0 25.0
8112128 100.0 25.0
8113152 100.0 25.0
8114176 100.0 25.0
8115200 100.0 25.0
8116224 84.0 23.0
8117248 100.0 25.0
8118272 100.0 25.0
8119296 100.0 25.0
8120320 100.0 25.0
8121344 100.0 25.0
8122368 100.0 25.0
8123392 100.0 25.0
8124416 100.0 25.0
8125440 100.0 25.0
8126464 76.0 21.0
8127488 100.0 25.0
8128512 100.0 25.0
8129536 100.0 25.0
8130560 100.0 25.0
8131584 100.0 25.0
8132608 100.0 25.0
8133632 100.0 25.0
8134656 100.0 25.0
8135680 100.0 25.0
8136704 84.0 23.0
8137728 100.0 25.0
8138752 84.0 23.0
8139776 100.0 25.0
8140800 100.0 25.0
8141824 100.0 25.0
8142848 100.0 25.0
8143872 100.0 25.0
8144896 100.0 25.0
8145920 100.0 25.0
8146944 100.0 25.0
8147968 100.0 25.0
8148992 100.0 25.0
8150016 100.0 25.0
8151040 100.0 25.0
8152064 100.0 25.0
8153088 100.0 25.0
8154112 100.0 25.0
8155136 100.0 25.0
8156160 100.0 25.0
8157184 100.0 25.0
8158208 100.0 25.0
8159232 100.0 25.0
8160256 100.0 25.0
8161280 84.0 23.0
8162304 100.0 25.0
8163328 100.0 25.0
8164352 100.0 25.0
8165376 100.0 25.0
8166400 100.0 25.0
8167424 100.0 25.0
8168448 100.0 25.0
8169472 100.0 25.0
8170496 100.0 25.0
8171520 76.0 21.0
8172544 100.0 25.0
8173568 100.0 25.0
8174592 100.0 25.0
8175616 100.0 25.0
8176640 100.0 25.0
8177664 100.0 25.0
8178688 68.0 21.0
8179712 84.0 23.0
8180736 100.0 25.0
8181760 100.0 25.0
8182784 100.0 25.0
8183808 100.0 25.0
8184832 100.0 25.0
8185856 100.0 25.0
8186880 100.0 25.0
8187904 100.0 25.0
8188928 100.0 25.0
8189952 100.0 25.0
8190976 100.0 25.0
8192000 100.0 25.0
8193024 100.0 25.0
8194048 100.0 25.0
8195072 100.0 25.0
8196096 100.0 25.0
8197120 100.0 25.0
8198144 100.0 25.0
8199168 100.0 25.0
8200192 100.0 25.0
8201216 100.0 25.0
8202240 100.0 25.0
8203264 100.0 25.0
8204288 100.0 25.0
8205312 100.0 25.0
8206336 100.0 25.0
8207360 100.0 25.0
8208384 100.0 25.0
8209408 100.0 25.0
8210432 100.0 25.0
8211456 100.0 25.0
8212480 100.0 25.0
8213504 100.0 25.0
8214528 100.0 25.0
8215552 100.0 25.0
